id,sentiment,review
1,1,"[['证券', '简称', '新宁物流nb'], ['全资子公司租赁仓库', '发生', '火灾事故'], ['江苏新宁现代物流股份有限公司关于全资子公司租赁仓库发生火灾事故公告本公司及董事会全体成员', '保证', '信息披露内容真实准确和完整'], ['江苏新宁现代物流股份有限公司', '简称', '公司'], ['全资子公司深圳市新宁现代物流有限公司以下简称深圳新宁', '租赁', '五个仓库'], ['五个仓库', '用于', '生产'], ['火灾事故', '发生', '深圳市坪山新区兰竹东路八号仓库'], ['本次火灾事故', '致使', '该仓库中约2200M2面积存放电子零配件'], ['本次火灾', '未造成', '人员伤亡'], ['公司', '已向投保保险公司报案', '向投保保险公司'], ['保险公司', '正对事故损失进行', '评定'], ['经营', '产生', '一定影响'], ['其业务', '开展', '运营中'], ['公司', '已启动', '应急响应方案']]"
2,1,"[['证券', '简称', '九洲药业'], ['2015-029浙江九洲药业股份有限公司关于进展公告本公司董事会', '保证', '本公告内容存在任何虚假记载'], ['本公告内容', '不存在', '任何虚假记载误导性陈述或者重大遗漏'], ['一起安全事故', '发生', '公司下属临海分公司'], ['本公司', '发布', '浙江九洲药业股份有限公司关于临海分公司发生安全事故公告'], ['安全事故', '发生', '浙江九洲药业股份有限公司'], ['公司', '收到', '临海市安全生产管理局出具临安监管'], ['临海市安全生产监督管理局', '出具', '决定书'], ['20-1号行政', '处罚', '决定书'], ['该事故', '生产', '安全责任事故'], ['临海分公司', '负有', '责任'], ['临海分公司', '已于规定时限内缴纳', '该罚款'], ['公司', '预计', '该事故不会对公司生产经营和业绩产生较大影响'], ['该事故', '不会对公司生产经营和业绩产生', '较大影响']]"
3,1,"[['证券', '简称', '天华院'], ['2015—026青岛天华院化学工程股份有限公司关于公告本公司董事会', '保证', '本公告内容存在任何虚假记载'], ['本公告内容', '不存在', '任何虚假记载误导性陈述或者重大遗漏'], ['及自动化研究设计院有限公司', '简称', '天华院有限公司'], ['在', '进行', '模拟试验'], ['爆炸', '意外发生', '橡胶机械研究所实验室'], ['伤员', '送往', '医院'], ['天华院有限公司', '立即启动', '应急救援预案'], ['程序', '进行', '报告'], ['本次事故', '未对公司科研生产经营工作造成', '影响']]"
4,1,"[['证券', '简称', '长青股份nb'], ['半成品仓库', '发生', '爆燃事故'], ['江苏长青农化股份有限公司关于半成品仓库发生爆燃事故公告本公司及董事会全体成员', '保证', '信息披露内容真实准确完整'], ['爆燃事故', '发生', '江都经济开发区三江大道以北一座半成品仓库'], ['公司', '立即启动', '应急预案'], ['公司管理层和相关部门', '迅速赶往', '现场'], ['该仓库所属区域', '独立', '仓储区'], ['本次事故', '未对公司生产造成', '影响'], ['此次爆燃涉及库房', '投保', '财产险'], ['本次事故损失', '预计', '为500万元'], ['本次事故损失', '约为', '500万'], ['公司', '已将', '事故情况通知保险公司'], ['本次事故发生', '产生', '重大影响'], ['公司', '将对事故具体情况进行', '后续公告']]"
5,1,"[['股票', '简称', 'ST安煤'], ['公司债券', '简称', '安债暂停'], ['安源煤业集团股份有限公司关于公告本公司董事会', '保证', '本公告内容存在任何虚假记载'], ['本公告内容', '存在', '任何虚假记载'], ['一起工作面顶板垮冒事故', '发生', '公司下属安源煤矿采四区331工作面'], ['这次事故', '造成', '2人死亡'], ['公司', '责令', '安源煤矿'], ['当地煤矿安全监督管理部门', '确认', '安源煤矿恢复为三级标准化矿井'], ['省安全生产监督管理部门', '同意', '恢复生产'], ['安源煤矿', '恢复', '生产']]"
6,1,"[['证券', '简称', '北玻股份nb'], ['子公司', '发生', '安全生产事故'], ['洛阳北方玻璃技术股份有限公司发生安全生产事故公告本公司', '保证', '信息披露内容真实'], ['信息', '披露', '内容真实'], ['洛阳北方玻璃技术股份有限公司', '简称', '发生一起安全生产事故'], ['叉车', '碰撞', '1名员工'], ['公司', '立即组织', '人员'], ['本次事故', '未对公司生产经营造成', '重大影响'], ['公司', '生产', '经营'], ['公司', '认真吸取', '本次事故教训'], ['公司', '及时向投资者履行', '信息'], ['广大投资者', '关注', '公司公告'], ['公司', '表示', '沉痛哀悼']]"
7,1,"[['证券', '简称', '依顿电子nb'], ['关于', '收到', '保险公司火灾事故赔付款'], ['2017-001广东依顿电子科技股份有限公司', '保证', '公告内容真实准确和完整'], ['广东依顿电子科技股份有限公司', '简称', '公司'], ['火灾事故', '发生', '厂区内二楼包装车间'], ['具体内容', '详见', '刊登'], ['起火原因', '认定', '如下起火部位为一期厂房二层沉银包装房'], ['起火部位', '为', '一期厂房二层沉银包装房'], ['起火点', '为', '包装房空调机位置'], ['起火原因', '为', '空调维修加注制冷剂'], ['与空气', '达到', '爆炸极限'], ['混合气体', '接触', '点火能量'], ['公司', '全面开展', '排查工作'], ['上述火灾事故造成存货资产账面损失金额', '为', '人民币6'], ['损失', '确认', '书'], ['公司', '收到', '保险公司财产'], ['公司', '再次履行', '义务'], ['信息', '披露', '义务']]"
8,1,"[['证券', '简称', '睿奕股份nb'], ['关于', '发生', '火灾事故'], ['方正证券广西睿奕新能源股份有限公司', '保证', '公告内容真实准确和完整'], ['着火', '发生', '梧州市星裕路9号第5栋第二层包装车间'], ['及其造成具体损失', '待', '调查核实'], ['公司', '立即启动', '应急预案'], ['公司董事会管理层', '认真吸取', '火灾事故教训']]"
9,1,"[['证券', '简称', '科斯伍德&nb'], ['2012-035苏州科斯伍德油墨股份有限公司关于公告本公司', '保证', '信息披露内容真实'], ['信息', '披露', '内容真实'], ['苏州科斯伍德油墨股份有限公司', '简称', '公司'], ['火灾事故', '发生', '厂区内钢结构简易棚内临时存放部分物料'], ['本次事故', '未造成', '任何人员伤亡'], ['生产设施', '未受到', '重大损失'], ['本次事故造成直接财产损失', '不超过', '5‰'], ['公司', '已向保险公司投保', '财产保险'], ['保险公司', '正在对事故损失进行', '评定'], ['公司', '已成立', '现场指挥部'], ['公司', '积极组织', '现场'], ['公司', '将进行', '检查'], ['本次事故', '不会对公司产品交付及经营业绩产生', '重大影响']]"
10,1,"[['证券', '简称', '太钢不锈&nb'], ['着火事故', '认定', '结果'], ['着火事故', '认定', '结果'], ['关于公司冷轧厂5.20着火事故认定结果公告本公司及董事会全体成员', '保证', '信息披露内容真实准确完整'], ['火灾', '采光板发生', '山西太钢不锈钢股份有限公司冷轧厂4号酸洗线厂房顶部'], ['相关情况', '见', '21日公司刊登关于公告'], ['结果', '为', '着火原因为产生振动'], ['着火原因', '为', '产生振动'], ['此次火灾', '烧毁', '10%左右厂房屋顶及两条立面玻璃钢采光带'], ['直接财产', '损失', '1']]"
